用户ID,评论内容,会员级别,点赞数,回复数,得分,购买时间
,,,,,,
11651140407,外观非常好，手感很好，屏幕高清晰，音质很好，待机时间长，充电的话换成iPad12W充电器很快！无线充电很方便，轻微发热，运行速度够快，无卡顿！非常值得入手的一款手机！,PLUS会员,12,5,5,2018/6/28 16:16
12484968640,手机收到了，包装完整，打开后手机没有磨损，包装很好，第一次用苹果手机，心里激动，好多地方都不懂?，不过手机很好看，手机本身摸着也很薄，喜欢！用后再来！,银牌会员,0,2,5,2019/2/25 0:19
12442751599,苹果就是苹果！质感非常好！运行速度快！屏幕分辨率也很好！游戏也不卡！非常顺畅！64G也够用！装几个游戏，下载个有声小说和电视剧、音乐！也够用！总之综合体验，这个iphone8plus（64G）性价比非常高！,金牌会员,7,1,5,2019/2/10 10:03
12433806580,不错就是太大了，还是se用着舒服，但配置跟不上了，苹果产品质量没的说，视频是三年前的SE，也是在京东四零八八买的，已经升级最新iOS12，非常流畅，省电，同期的某为产品出来走两步呀？！海军再多也没用，拿质量说话！,钻石会员,10,14,5,2019/2/2 19:53
12442818854,第一次用ios挺好用的 很喜欢 很流畅 没有任何瑕疵 是2019新产的 自己贴了一个白色的膜 没贴好 建议大家买的话预备好壳子 背后是玻璃的很容易就刮花了,银牌会员,1,2,5,2019/2/10 10:40
12405591253,手机挺好用的 之前用的5s用了三年 后来用vivo 然后又买了这个 吃鸡零压力 很快 像素也很好 哦不 贼好 查了序列号 是正品 总之很喜欢,注册会员,4,5,5,2019/1/24 11:12
12401906529,手机用了十几天才来评论，一点问题都没有，非常适合我，64G够用了，感觉手机不一定要最好最新出的，适合自己的就好。而且我们用的是它的性能，不是排面。,银牌会员,19,6,5,2019/1/23 10:28
10811645862,"第一次买国行苹果手机。可以说税收真鸡儿高。
这是第三部iphone。用过6p 和手感最好的se。若不是才16g，也不会买8p了。
虽然很喜欢十周年纪念版，但是大家都懂得，很贵很难买果断放弃。
8p的外观没变，但是材质是玻璃的，特意和奶油粉金做了对比，银白色低调耐看，奶油粉金更适合女孩子。两款我都喜欢。
喜欢带指纹的8p，是前面两款手机的继承，用起来很顺手，运行速度杠杠滴，尤其是指纹解锁超级快，游戏方面暂时还没有很好的匹配，王者荣耀暂时不能开启高帧率模式，如果可以开启90帧的话简直飞起哈哈哈。夜间拍照效果很棒，有一种立体感。256g的空间，足够我用两年了。很多机友反映有问题。我也遇到过，不知道是系统问题还是硬件问题。期待可以通过更新系统解决。",PLUS会员,606,270,5,2017/9/25 15:14
12447663861,物流很快 一天就到了  防护措施很好 还必须要验证码才能拿到手机  手机包装的不错  手机大小尺寸感觉刚好  激活试了试 反应很灵敏  又去官网查了下 手机是正品  已经用了几天了  目前没发现什么问题  内存真是超大 这些手机电器还是京东值得信赖一些,PLUS会员,2,1,5,2019/2/12 16:54
12466069589,iPhone8p用起来非常流畅，新的系统操作性很好，屏幕分辨率很高，拍照人像功能很独特，犹如单反相机的拍摄效果，运行大型单机游戏现实感很强流畅，扬声器变成了两个能实现立体声播放音乐，低音有弹性，高音不刺耳，中音较为醇厚，很耐听的效果，电池续航能力很强，还有各种对电池使用时间和屏幕使用时间的周期性统计，A11仿生芯片的能力还是很强的，可以流畅使用几年，总之这是我用过的使用体验最好的手机。一分钱一分货，喜欢就买了吧。,金牌会员,0,3,5,2019/2/19 10:08
12439670683,手机款式新颖，金色靓丽。与安卓系统相比，运行速度快，的确有优势。内存256G，足够强大，相当于半个500G的移动硬盘。拍照效果很好，真实清晰。后壳很漂亮，窃以为美中不足的是后壳是玻璃的，与6P或7P相比较而言，感觉有点重，女孩子拿起来，不太灵巧。包装安全，快递及时，服务态度很好。比较了好几个购物平台，还是更加信任京东自营商城，所以第一次在京东买手机，非常满意。,铜牌会员,1,1,5,2019/2/7 21:42
12304137881,红色特别版，拍照效果特别好，屏幕大，而且续航也很好，电量够用，跑分很高，秒杀一般的安卓，屏幕触摸感觉很好，玩游戏很流畅！,PLUS会员,0,0,5,2018/12/26 9:46
12418777334,非常完美，机子是正品，外观没有其他人说的缝隙，昨天到手四个小时安装下载各种软件才用了45%的电，电池感觉比4000ma的安卓都耐用，就是充电慢一点。流畅的一比。。。还有京东小哥很敬业，新疆大雪天都给及时送过来了，很感谢小哥,PLUS会员,5,2,5,2019/1/28 9:46
