用户ID,会员级别,手机参数,昵称,购买时间,评论内容
,,,,,
1.03531E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***3,2019/2/20 16:13,苏宁易购买了4次了。价格确实很大的优惠。最重要的是品质保证。正品保证
1.03579E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/24 16:32,此用户没有填写评论!
1.03606E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***8,2019/2/26 18:02,手机全新的，物流速度很快，8P玩起游戏来比之前的6流畅很多，很满意的一次购物
1.03613E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,我***0,2019/3/1 10:12,手机在苏宁已经是第三次购买了，之前买的是苹果7，一直都相当好用，过了质保期后还正常享受了一次官方低价更换电池的服务，果7有满血复活了，由于父亲想学习使用智能机，就把果7给父亲使用了，自己再购一台8P，实在接受不了时下流行的刘海屏，所以果断下手8P，个人觉得是最实惠的机型了。收到宝贝立即激活了，官网查询保修期正常。我相信苏宁的品牌，下次购机还来苏宁。
1.0358E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,乔***源,2019/2/24 18:59,很好用，自己的买了一年了，给家里人买了一个
1.03571E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,万***琴,2018/12/23 17:29,此用户没有填写评论!
1.03566E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,高***范,2019/2/26 7:41,非常好用  正品 而且比官方价便宜好几百  划算  北鼻和我的手机都是在这家店买的  开熏
1.03549E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,你***呐,2019/2/21 17:47,很好用 好评
1.03607E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,就***8,2019/2/28 14:39,特意用了几天才来评价的，东西收到时就查了真伪，确定是国行正品未拆封，保修期剩余一年，运行流畅，等用段时间再来追加！
1.03557E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***5,2019/2/22 23:17,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.   演唱会 加油鸭 努力赚钱 好好上班 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福
1.03611E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,憧***瑞,2019/3/3 18:45,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
1.03564E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,雷***斯,2019/2/21 22:34,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，  物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,南***a,2019/3/1 14:22,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实， 物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。用了十几天才来评价，可以放心购买 客服妹妹和快递小哥值得赞
1.03629E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,云***2,2019/3/1 18:48,奶思！就很棒 以后还会再来的～挺好的 声音也OK 全新的机子
1.01444E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,赢***你,2018/8/23 15:03,此用户没有填写评论!
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,h***1,2019/3/1 13:22,很满意哈！?? 推荐给你们的东东 不是我亲测过就是团队亲测过的 每天买买买拍拍拍，还要修修修 不想只是发个优惠券，要做就做好 东西要实惠好用，价格也要尽量低 你们看到图也要美美哒 这是我种花生对自己的要求 我希望每一个看过我朋友圈的人 不仅能够买到质优价廉的东西 看到的商品图片也是舒心的
1.03569E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,c***0,2019/2/24 23:40,物流很快。  隔天就到了。打开包装很精致 颜值很高 一直都想买来着 但黑色的没有货了 这个颜值也很好看 应该是正品 反应很快 配套也很齐全 自己鼓捣了半天 才搞明白了 客服的态度也很好 随时回答 好好啊好啊好喜欢哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈相信苏宁哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈江河湖海就好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1.03568E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,顺***吧,2019/2/24 21:36,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.演唱会加油鸭努力赚钱好好上班开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福 复制~
1.03591E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,a***0,2019/3/1 13:44,下单第二天早上就收到货了，运行流畅，很好用。
1.03601E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***1,2019/3/1 11:35,以旧换新买的，质量没有问题，用起来很流畅放心购买吧
1.03531E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***3,2019/2/20 16:13,苏宁易购买了4次了。价格确实很大的优惠。最重要的是品质保证。正品保证
1.03579E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/24 16:32,此用户没有填写评论!
1.03606E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***8,2019/2/26 18:02,手机全新的，物流速度很快，8P玩起游戏来比之前的6流畅很多，很满意的一次购物
1.03613E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,我***0,2019/3/1 10:12,手机在苏宁已经是第三次购买了，之前买的是苹果7，一直都相当好用，过了质保期后还正常享受了一次官方低价更换电池的服务，果7有满血复活了，由于父亲想学习使用智能机，就把果7给父亲使用了，自己再购一台8P，实在接受不了时下流行的刘海屏，所以果断下手8P，个人觉得是最实惠的机型了。收到宝贝立即激活了，官网查询保修期正常。我相信苏宁的品牌，下次购机还来苏宁。
1.0358E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,乔***源,2019/2/24 18:59,很好用，自己的买了一年了，给家里人买了一个
1.03571E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,万***琴,2018/12/23 17:29,此用户没有填写评论!
1.03566E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,高***范,2019/2/26 7:41,非常好用  正品 而且比官方价便宜好几百  划算  北鼻和我的手机都是在这家店买的  开熏
1.03549E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,你***呐,2019/2/21 17:47,很好用 好评
1.03607E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,就***8,2019/2/28 14:39,特意用了几天才来评价的，东西收到时就查了真伪，确定是国行正品未拆封，保修期剩余一年，运行流畅，等用段时间再来追加！
